1,9,000208,000301,laq,zg,
2,3,000322,000347,qp,xa,
3,1,000348,000352,qp,zg,
4,4,000354,000406,qp,xa,
5,1,000408,000411,tj,zg,
6,1,000412,000414,qp,jz,
7,1,000414,000415,zg,qp,
8,14,000419,000557,zg,jz,
9,1,000557,000559,laq,jz,
10,5,000600,000651,zg,jz,
11,1,000653,000657,laq,zg,
12,2,000700,000720,zg,jz,
13,1,000720,000724,laq,jz,
14,1,000727,000729,qp,jz+xa,
15,1,000730,000732,qp,tj,
16,1,000750,000755,zg,jz+xa,
17,1,000805,000813,zg,jz,
18,1,000820,000822,laq,jz,
19,7,000843,000927,xa,zg,
20,1,000929,000933,qp,tj,
21,1,000933,000934,laq,tj,
22,2,000934,000939,zg,qp,
23,2,001009,001051,zg,jz,
24,1,001052,001055,laq,jz,
25,2,001100,001109,zg,jz,
26,9,001121,001223,laq,zg,
27,10,001327,001600,jz,zy,
28,1,001627,001628,xa,zy,
29,1,001631,001646,zy,jz,
30,1,001649,001654,zy,xa,
31,5,001705,001800,zy,jz,
32,2,001817,001848,xa,jz,
33,1,002132,002133,jz,gn,
34,8,002147,002439,xa,jz,
35,6,002456,002515,jz,zg,
36,1,002517,002520,qp,zg,
37,1,002520,002528,zg,jz,
38,2,002529,002542,zg,laq,
39,1,002542,002543,tz,laq,
40,1,002545,002546,zg,laq,
41,1,002546,002547,qp,zg,
42,1,002549,002551,zg,tj,
43,1,002558,002605,tz+dc,zg,
44,1,002612,002613,jz,tj,
45,1,002627,002649,zg,jz+tz+laq+dc,
46,1,002650,002653,laq,zg,
47,1,002654,002704,zg,jz+tz+laq+dc,
48,2,002704,002711,jz,zg,
49,2,002714,002720,qp,zg,
50,8,002728,002959,zg,jz,
51,2,003053,003114,xa,zy,
52,7,003120,003215,zg,qp,
53,1,003225,003302,xa,zy+jz,
54,1,003303,003309,zy,jz,
55,1,003334,003336,xa,zy+jz,
56,1,003338,003340,xa,zy,
57,3,003342,003350,zy,jz,
58,1,003429,003430,xa,zy+jz,
59,1,003431,003443,zy,jz,
60,1,003447,003449,xa,zy,
61,5,003457,003548,zy,jz,
62,1,003624,003634,zg,zg,
63,1,003634,003637,dc,zg,
64,1,003649,003655,zg,qp,
65,1,003702,003703,tj,zg,
66,1,003706,003708,laq,gn,
67,4,003713,003724,laq,zg,
68,5,003724,003744,qp,zg,
69,10,003748,003900,zg,laq,
70,1,003901,003910,tz,zg,
71,1,003910,003915,dc,zg,
72,1,003915,003923,zg,tz+dc,
73,3,003925,003939,tz,zg,
74,1,003957,004002,laq,zg,
75,1,004005,004006,tz,zg,
76,1,004010,004013,laq,zg,
77,1,004027,004029,tz,zg,
78,1,004034,004036,laq,zg,
79,1,004047,004048,zg,qp,
80,1,004048,004050,tz,qp,
81,1,004101,004104,qp,laq,
82,14,004148,004358,yc,yp,
83,2,004359,004442,xa,zy,
84,1,004446,004448,zy,jz,
85,1,004448,004522,zy,xa,
86,1,004539,004545,zy,jz,
87,1,004558,004609,xa,jz,
88,1,004610,004611,zy,jz,
89,1,004614,004617,jz,xa,
90,1,004719,004734,zy,zy,
91,1,004738,004739,xa,zy,
92,4,004742,004804,zy,jz,
93,5,004812,004841,zy,xa,
94,6,004919,005013,tz,jz,
95,13,005059,005443,tz,zy,
96,3,005518,005547,jz,tz,
97,1,005618,005631,tz,sq,
98,4,005633,005722,zg,qp,
99,7,005730,005851,zy,jz,
100,7,005917,010127,jz,xa,
101,1,010504,010508,sb,yc,
102,2,010601,010610,yp,yc,
103,1,010627,010643,jz,yc,
104,8,010648,010736,yp,yc,
105,1,010818,010819,tz,sq,
106,1,010836,010840,tz,qp,
107,3,010936,011149,jz,yc,
108,1,011205,011210,tz,sq,
109,1,011328,011330,sb,yp,
110,1,011338,011354,tz,sq,
111,1,011401,011402,yp,sbm,
112,1,011423,011424,qp,yp,
113,5,011514,011551,jz,yc,
114,1,011606,011607,sq,sq,
115,5,011740,011816,yp,qp,
116,1,011931,012014,zy,xa,
117,1,012118,012135,tz,tz,
118,1,012137,012138,yc,yp,
119,1,012505,012506,jz,jzn,
120,1,012533,012543,jz,ck,
121,1,012633,012648,zgsw,jz,
122,2,012655,012749,zg,tz,
123,1,012844,012909,zg,dc+xa,
124,1,012958,013000,zgsw,zy,
125,1,013013,013019,tj,zg,
126,1,013020,013021,zg,dc+xa,
127,3,013108,013122,jz,zg,
128,3,013155,013203,zg,xa,
129,1,013210,013216,laq,dc,
130,1,013216,013221,laq,jz,
131,1,013222,013225,zg,laq,
132,1,013225,013230,laq,dc,
133,4,013246,013354,zg,laq,
134,1,013420,013513,zg,jz,
135,1,013515,013517,zg,xa,
136,1,013519,013534,zg,jz+xa,
137,1,013537,013545,zg,jz,
138,1,013548,013627,zg,jz+xa,
139,1,013628,013646,zg,jz,
140,1,013652,013658,zg,xa,
141,1,013717,013727,zg,zgsw,
142,1,013728,013729,xa,zg,
143,1,013754,013809,zg,jz,
144,1,013901,013918,zy,xa+jz,
145,1,013922,013959,zy,zg,
146,2,014007,014018,xa,zy,
147,2,014020,014253,zy,jz,
148,1,014327,014333,jz,zg,
149,1,014651,014701,jz,dc,